AMARAJI/RECIFE;CONVENCIONAL;106km;R$:30,50
AMARAJI/PONTE DOS CARVALHOS;CONVENCIONAL;89km;R$:25,61
AMARAJI/CABO;CONVENCIONAL;82km;R$:23,60 
AMARAJI/MERÇÊS;CONVENCIONAL;66km;R$:18,99 
AMARAJI/TIMBOASSU;CONVENCIONAL;51km;R$:14,68 
AMARAJI/ESCADA;CONVENCIONAL;46km;R$:13,24 
AMARAJI/FREIXEIRAS;CONVENCIONAL;29km;R$:8,35 
AMARAJI/PRIMAVERA;CONVENCIONAL;25km;R$:7,19 
PRIMAVERA/RECIFE;CONVENCIONAL;81km;R$:23,31 
PRIMAVERA/PONTE DOS CARVALHOS;CONVENCIONAL;64km;R$:18,42 
PRIMAVERA/CABO;CONVENCIONAL;57km;R$:16,40 
PRIMAVERA/MERÇÊS;CONVENCIONAL;41km;R$:11,80 
PRIMAVERA/TIMBOASSU;CONVENCIONAL;26km;R$:7,48 
PRIMAVERA/ESCADA;CONVENCIONAL;21km;R$:6,04 
PRIMAVERA/FREIXEIRAS;CONVENCIONAL;4km;R$:4,00 
FREIXEIRAS/RECIFE;CONVENCIONAL;77km;R$:22,16 
FREIXEIRAS/PONTE DOS CARVALHOS;CONVENCIONAL;60km;R$:17,27 
FREIXEIRAS/CABO;CONVENCIONAL;53km;R$:15,25 
FREIXEIRAS/MERÇÊS;CONVENCIONAL;37km;R$:10,65 
FREIXEIRAS/TIMBOASSU;CONVENCIONAL;22km;R$:6,33 
FREIXEIRAS/ESCADA;CONVENCIONAL;17km;R$:4,89 
ESCADA/RECIFE;CONVENCIONAL;60km;R$:17,27 
ESCADA/PONTE DOS CARVALHOS;CONVENCIONAL;43km;R$:12,37 
ESCADA/CABO;CONVENCIONAL;36km;R$:10,36 
ESCADA/MERÇÊS;CONVENCIONAL;20km;R$:5,76 
ESCADA/TIMBOASSU;CONVENCIONAL;5km;R$:4,00 
TIMBOASSU/RECIFE;CONVENCIONAL;55km;R$:15,83 
TIMBOASSU/PONTE DOS CARVALHOS;CONVENCIONAL;38km;R$:10,93 
TIMBOASSU/CABO;CONVENCIONAL;31km;R$:8,92 
TIMBOASSU/MERÇÊS;CONVENCIONAL;15km;R$:4,32 
CHÃ DE ALEGRIA/CAMARAGIBE;CONVENCIONAL;40km;R$:11,60 2022.1.804.11002
CHÃ DE ALEGRIA/SÃO LOURENÇO;CONVENCIONAL;30km;R$:8,70 
RECIFE/VITÓRIA DE SANTO ANTÃO (VIA TIP);CONVENCIONAL;40km;R$:11,51 2022.1.804.11003
RECIFE/BONANÇA;CONVENCIONAL;24km;R$:6,91 
BONANÇA/VITÓRIA DE SANTO ANTÃO;CONVENCIONAL;16km;R$:4,60 
PALMARES/RECIFE;CONVENCIONAL;132km;R$:37,98 2022.1.804.1101
PALMARES/PONTE DOS CARVALHOS;CONVENCIONAL;115km;R$:33,09 
PALMARES/CABO;CONVENCIONAL;108km;R$:31,08 
PALMARES/MERÇÊS;CONVENCIONAL;92km;R$:26,47 
PALMARES/TIMBOASSU;CONVENCIONAL;77km;R$:22,16 
PALMARES/ESCADA;CONVENCIONAL;72km;R$:20,72 
PALMARES/ENT. PRIMAVERA;CONVENCIONAL;55km;R$:15,83 
PALMARES/ARIPIBU;CONVENCIONAL;47km;R$:13,52 
PALMARES/RIBEIRÃO;CONVENCIONAL;38km;R$:10,93 
PALMARES/ENT. GAMELEIRA;CONVENCIONAL;31km;R$:8,92 
ENT. GAMELEIRA/RECIFE;CONVENCIONAL;101km;R$:29,06 
ENT. GAMELEIRA/PONTE DOS CARVALHOS;CONVENCIONAL;84km;R$:24,17 
ENT. GAMELEIRA/CABO;CONVENCIONAL;77km;R$:22,16 
ENT. GAMELEIRA/MERÇÊS;CONVENCIONAL;61km;R$:17,55 
ENT. GAMELEIRA/TIMBOASSU;CONVENCIONAL;46km;R$:13,24 
ENT. GAMELEIRA/ESCADA;CONVENCIONAL;41km;R$:11,80 
ENT. GAMELEIRA/ENT. PRIMAVERA;CONVENCIONAL;24km;R$:6,91 
ENT. GAMELEIRA/ARIPIBU;CONVENCIONAL;16km;R$:4,60 
ENT. GAMELEIRA/RIBEIRÃO;CONVENCIONAL;7km;R$:4,00 
RIBEIRÃO/RECIFE;CONVENCIONAL;94km;R$:27,05 
RIBEIRÃO/PONTE DOS CARVALHOS;CONVENCIONAL;77km;R$:22,16 
RIBEIRÃO/CABO;CONVENCIONAL;70km;R$:20,14 
RIBEIRÃO/MERÇÊS;CONVENCIONAL;54km;R$:15,54 
RIBEIRÃO/TIMBOASSU;CONVENCIONAL;39km;R$:11,22 
RIBEIRÃO/ESCADA;CONVENCIONAL;34km;R$:9,78 
RIBEIRÃO/ENT. PRIMAVERA;CONVENCIONAL;17km;R$:4,89 
ARIPIBU/RECIFE;CONVENCIONAL;85km;R$:24,46 
ARIPIBU/PONTE DOS CARVALHOS;CONVENCIONAL;68km;R$:19,57 
ARIPIBU/CABO;CONVENCIONAL;61km;R$:17,55 
ARIPIBU/MERÇÊS;CONVENCIONAL;45km;R$:12,95 
ARIPIBU/TIMBOASSU;CONVENCIONAL;30km;R$:8,63 
ARIPIBU/ESCADA;CONVENCIONAL;25km;R$:7,19 
ENT. PRIMAVERA/RECIFE;CONVENCIONAL;77km;R$:22,16 
ENT. PRIMAVERA/PONTE DOS CARVALHOS;CONVENCIONAL;60km;R$:17,27 
ENT. PRIMAVERA/CABO;CONVENCIONAL;53km;R$:15,25 
ENT. PRIMAVERA/MERÇÊS;CONVENCIONAL;37km;R$:10,65 
ENT. PRIMAVERA/TIMBOASSU;CONVENCIONAL;22km;R$:6,33 
ENT. PRIMAVERA/ESCADA;CONVENCIONAL;17km;R$:4,89 
ESCADA/RECIFE;CONVENCIONAL;60km;R$:17,27 
ESCADA/PONTE DOS CARVALHOS;CONVENCIONAL;43km;R$:12,37 
ESCADA/CABO;CONVENCIONAL;36km;R$:10,36 
ESCADA/MERÇÊS;CONVENCIONAL;20km;R$:5,76 
ESCADA/TIMBOASSU;CONVENCIONAL;5km;R$:4,00 
TIMBOASSU/RECIFE;CONVENCIONAL;55km;R$:15,83 
TIMBOASSU/PONTE DOS CARVALHOS;CONVENCIONAL;38km;R$:10,93 
TIMBOASSU/CABO;CONVENCIONAL;31km;R$:8,92 
TIMBOASSU/MERÇÊS;CONVENCIONAL;15km;R$:4,32 
RIBEIRÃO/RECIFE;CONVENCIONAL;94km;R$:27,05 2022.1.804.11005
Gameleira/RECIFE;CONVENCIONAL;95km;R$:27,34
Cortês/RECIFE;CONVENCIONAL;107km;R$:30,79
RIBEIRÃO/PONTE DOS CARVALHOS;CONVENCIONAL;77km;R$:22,16 
RIBEIRÃO/CABO;CONVENCIONAL;70km;R$:20,14 
RIBEIRÃO/MERÇÊS;CONVENCIONAL;54km;R$:15,54 
RIBEIRÃO/TIMBOASSU;CONVENCIONAL;39km;R$:11,22 
RIBEIRÃO/ESCADA;CONVENCIONAL;34km;R$:9,78 
RIBEIRÃO/ENT. PRIMAVERA;CONVENCIONAL;17km;R$:4,89 
ARIPIBU/RECIFE;CONVENCIONAL;85km;R$:24,46 
ARIPIBU/PONTE DOS CARVALHOS;CONVENCIONAL;68km;R$:19,57 
ARIPIBU/CABO;CONVENCIONAL;61km;R$:17,55 
ARIPIBU/MERÇÊS;CONVENCIONAL;45km;R$:12,95 
ARIPIBU/TIMBOASSU;CONVENCIONAL;30km;R$:8,63 
ARIPIBU/ESCADA;CONVENCIONAL;25km;R$:7,19 
ENT. PRIMAVERA/RECIFE;CONVENCIONAL;77km;R$:22,16 
ENT. PRIMAVERA/PONTE DOS CARVALHOS;CONVENCIONAL;60km;R$:17,27 
ENT. PRIMAVERA/CABO;CONVENCIONAL;53km;R$:15,25 
ENT. PRIMAVERA/MERÇÊS;CONVENCIONAL;37km;R$:10,65 
ENT. PRIMAVERA/TIMBOASSU;CONVENCIONAL;22km;R$:6,33 
ENT. PRIMAVERA/ESCADA;CONVENCIONAL;17km;R$:4,89 
ESCADA/RECIFE;CONVENCIONAL;60km;R$:17,27 
ESCADA/PONTE DOS CARVALHOS;CONVENCIONAL;43km;R$:12,37 
ESCADA/CABO;CONVENCIONAL;36km;R$:10,36 
ESCADA/MERÇÊS;CONVENCIONAL;20km;R$:5,76 
TIMBOASSU/RECIFE;CONVENCIONAL;55km;R$:15,83 
TIMBOASSU/PONTE DOS CARVALHOS;CONVENCIONAL;38km;R$:10,93 
TIMBOASSU/CABO;CONVENCIONAL;31km;R$:8,92 
TIMBOASSU/MERÇÊS;CONVENCIONAL;15km;R$:4,32 
RECIFE/CUMARU (VIA LIMOEIRO);CONVENCIONAL;128km;R$:36,83 2022.1.804.11006
